Lan;Ockupation;Totalt;Andel;;
01 Stockholms lan;arbetslosa;totalt;7,7;;
03 Uppsala lan;arbetslosa;totalt;8,9;;
04 Sodermanlands lan;arbetslosa;totalt;12,2;;
05 Ostergotlands lan;arbetslosa;totalt;8,4;;
06 Jonkopings lan;arbetslosa;totalt;6,6;;
07 Kronobergs lan;arbetslosa;totalt;9,2;;
08 Kalmar lan;arbetslosa;totalt;8,4;;
09 Gotlands lan;arbetslosa;totalt;6,4;;
10 Blekinge lan;arbetslosa;totalt;10,1;;
12 Skane lan;arbetslosa;totalt;10,5;;
13 Hallands lan;arbetslosa;totalt;7,6;;
14 Vastra Gotalands lan;arbetslosa;totalt;7,7;;
17 Varmlands lan;arbetslosa;totalt;7,4;;
18 Orebro lan;arbetslosa;totalt;9,2;;
19 Vastmanlands lan;arbetslosa;totalt;9;;
20 Dalarnas lan;arbetslosa;totalt;7,6;;
21 Gavleborgs lan;arbetslosa;totalt;8,8;;
22 Vasternorrlands lan;arbetslosa;totalt;8,1;;
23 Jamtlands lan;arbetslosa;totalt;6,6;;
24 Vasterbottens lan;arbetslosa;totalt;6,6;;
25 Norrbottens lan;arbetslosa;totalt;5,8;;
