Lan;2020
01 Stockholms lan;2391990
03 Uppsala lan;388394
04 Sodermanlands lan;299401
05 ostergotlands lan;467158
06 Jonkopings lan;365010
07 Kronobergs lan;202263
08 Kalmar lan;246010
09 Gotlands lan;60124
10 Blekinge lan;159056
12 Skane lan;1389336
13 Hallands lan;336748
14 Vastra Gotalands lan;1734443
17 Varmlands lan;282885
18 Orebro lan;305643
19 Vastmanlands lan;277141
20 Dalarnas lan;287676
21 Gavleborgs lan;287502
22 Vasternorrlands lan;244554
23 Jamtlands lan;131155
24 Vasterbottens lan;273192
25 Norrbottens lan;249614
